,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,军队,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
93,李雁红,男,汉族,01/09/1952,山西省,阳泉市,盂县,硕士,01/10/1974,在职,,,,,,,,,,,,,,,,,
94,贺锐,男,汉族,01/08/1944,山西省,大同市,阳高县,本科,01/09/1973,退休,,,,,,,,,,,,,,,,,
95,夏振贵,男,汉族,01/09/1956,山西省,朔州市,应县,硕士,01/03/1978,降/辞/撤职,,否,责任事故,,是,20/09/2008,山西省纪委,否,,,,,,,,,
96,王茂设,男,汉族,01/08/1957,山西省,临汾市,安泽县,硕士,01/04/1982,立案查处,,是,贪污腐败,,否,19/08/2014,山西省纪委,是,受贿罪,人民币5235万元,06/01/2017,江苏省,徐州市,15年有期徒刑,否,,
97,王清宪,男,汉族,01/07/1963,河北省,邯郸市,永年县,博士,01/08/1986,在职,,,,,,,,,,,,,,,,,
98,樊纪亨,男,汉族,01/07/1944,山西省,临汾市,安泽县,本科,01/12/1971,退休,,,,,,,,,,,,,,,,,
99,王国正,男,汉族,01/01/1952,山西省,运城市,万荣县,硕士,01/09/1984,退休,,,,,,,,,,,,,,,,,
100,谢海,男,汉族,01/10/1953,山西省,忻州市,繁峙县,本科,01/03/1974,在职,,,,,,,,,,,,,,,,,
101,李天太,男,汉族,01/03/1957,山西省,朔州市,,博士,01/12/1976,降/辞/撤职,,否,责任事故,,是,18/12/2007,,否,,,,,,,,,
102,刘志杰,男,汉族,01/11/1962,山西省,晋中市,榆次区,硕士,01/01/1982,降/辞/撤职,,否,责任事故,,是,01/09/2008,,否,,,,,,,,,
103,罗清宇,男,汉族,01/10/1963,山西省,忻州市,原平县,硕士,01/06/1986,在职,,,,,,,,,,,,,,,,,
104,岳普煜,男,汉族,01/10/1959,山西省,太原市,,博士,01/09/1985,在职,,,,,,,,,,,,,,,,,
105,吕日周,男,汉族,01/01/1945,山西省,大同市,,本科,,退休,,,,,,,,,,,,,,,,,
106,张兵生,男,汉族,01/09/1955,山西省,临汾市,襄汾县,本科,01/01/1975,降/辞/撤职,,否,违纪,,是,18/02/2011,,否,,,,,,,,,
107,杜善学,男,汉族,01/02/1956,山西省,运城市,临猗县,硕士,01/01/1975,立案查处,,是,贪污腐败,,否,19/06/2014,中纪委,是,受贿罪、行贿罪、巨额财产来源不明最,受贿罪人民币8011万元，巨额财产来源不明罪人民币8961万元,30/08/2016,江苏省,徐州市,无期徒刑,否,,
108,田喜荣,男,汉族,01/11/1955,山西省,忻州市,宁武县,本科,01/05/1975,在职,,,,,,,,,,,,,,,,,
109,张保,男,汉族,01/09/1957,山西省,忻州市,,硕士,01/09/1976,立案查处,,是,贪污腐败,,否,18/08/2014,山西省纪委,是,滥用职权罪、受贿罪,,01/04/2015,山西省,阳泉市,13年有期徒刑,是,,
110,刘俊谦,男,汉族,01/08/1947,河北省,保定市,阜平县,硕士,,退休,,,,,,,,,,,,,,,,,
111,吴清海,男,汉族,01/11/1962,陕西省,西安市,临潼区,本科,01/03/1992,在职,,,,,,,,,,,,,,,,,
112,张璞,男,汉族,01/09/1956,山西省,临汾市,,硕士,01/06/1976,在职,,,,,,,,,,,,,,,,,
113,李永宏,男,汉族,01/10/1952,山西省,临汾市,翼城县,硕士,01/09/1984,在职,,,,,,,,,,,,,,,,,
