编码,名称,上级编码,上级名称,起始日期,终止日期,别名编码,别名名称,级别
131003,广阳区,131000,廊坊市,31/12/2002,31/08/2013,131003,广阳区,区县
131022,固安县,131000,廊坊市,31/12/2002,31/08/2013,131022,固安县,区县
131023,永清县,131000,廊坊市,31/12/2002,31/08/2013,131023,永清县,区县
131024,香河县,131000,廊坊市,31/12/2002,31/08/2013,131024,香河县,区县
131025,大城县,131000,廊坊市,31/12/2002,31/08/2013,131025,大城县,区县
131026,文安县,131000,廊坊市,31/12/2002,31/08/2013,131026,文安县,区县
131028,大厂回族自治县,131000,廊坊市,31/12/2002,31/08/2013,131028,大厂回族自治县,区县
131081,霸州市,131000,廊坊市,31/12/2002,31/08/2013,131081,霸州市,区县
131082,三河市,131000,廊坊市,31/12/2002,31/08/2013,131082,三河市,区县
131100,衡水市,130000,河北省,31/12/2002,31/08/2013,131100,衡水市,地级市（区）
131102,桃城区,131100,衡水市,31/12/2002,31/08/2013,131102,桃城区,区县
131121,枣强县,131100,衡水市,31/12/2002,31/08/2013,131121,枣强县,区县
131122,武邑县,131100,衡水市,31/12/2002,31/08/2013,131122,武邑县,区县
131123,武强县,131100,衡水市,31/12/2002,31/08/2013,131123,武强县,区县
131124,饶阳县,131100,衡水市,31/12/2002,31/08/2013,131124,饶阳县,区县
131125,安平县,131100,衡水市,31/12/2002,31/08/2013,131125,安平县,区县
131126,故城县,131100,衡水市,31/12/2002,31/08/2013,131126,故城县,区县
131127,景县,131100,衡水市,31/12/2002,31/08/2013,131127,景县,区县
131128,阜城县,131100,衡水市,31/12/2002,31/08/2013,131128,阜城县,区县
131181,冀州市,131100,衡水市,31/12/2002,31/08/2013,131181,冀州市,区县
131182,深州市,131100,衡水市,31/12/2002,31/08/2013,131182,深州市,区县
140000,山西省,140000,山西省,31/12/2002,31/08/2013,140000,山西省,省
140100,太原市,140000,山西省,31/12/2002,31/08/2013,140100,太原市,地级市（区）
140105,小店区,140100,太原市,31/12/2002,31/08/2013,140105,小店区,区县
140106,迎泽区,140100,太原市,31/12/2002,31/08/2013,140106,迎泽区,区县
140107,杏花岭区,140100,太原市,31/12/2002,31/08/2013,140107,杏花岭区,区县
140108,尖草坪区,140100,太原市,31/12/2002,31/08/2013,140108,尖草坪区,区县
140109,万柏林区,140100,太原市,31/12/2002,31/08/2013,140109,万柏林区,区县
140110,晋源区,140100,太原市,31/12/2002,31/08/2013,140110,晋源区,区县
140121,清徐县,140100,太原市,31/12/2002,31/08/2013,140121,清徐县,区县
140122,阳曲县,140100,太原市,31/12/2002,31/08/2013,140122,阳曲县,区县
140123,娄烦县,140100,太原市,31/12/2002,31/08/2013,140123,娄烦县,区县
140181,古交市,140100,太原市,31/12/2002,31/08/2013,140181,古交市,区县
140200,大同市,140000,山西省,31/12/2002,31/08/2013,140200,大同市,地级市（区）
140212,新荣区,140200,大同市,31/12/2002,31/08/2013,140212,新荣区,区县
140221,阳高县,140200,大同市,31/12/2002,31/08/2013,140221,阳高县,区县
140222,天镇县,140200,大同市,31/12/2002,31/08/2013,140222,天镇县,区县
140223,广灵县,140200,大同市,31/12/2002,31/08/2013,140223,广灵县,区县
140224,灵丘县,140200,大同市,31/12/2002,31/08/2013,140224,灵丘县,区县
140225,浑源县,140200,大同市,31/12/2002,31/08/2013,140225,浑源县,区县
140226,左云县,140200,大同市,31/12/2002,31/08/2013,140226,左云县,区县
140227,大同县,140200,大同市,31/12/2002,31/08/2013,140227,大同县,区县
140300,阳泉市,140000,山西省,31/12/2002,31/08/2013,140300,阳泉市,地级市（区）
140321,平定县,140300,阳泉市,31/12/2002,31/08/2013,140321,平定县,区县
140322,盂县,140300,阳泉市,31/12/2002,31/08/2013,140322,盂县,区县
140400,长治市,140000,山西省,31/12/2002,31/08/2013,140400,长治市,地级市（区）
140421,长治县,140400,长治市,31/12/2002,31/08/2013,140421,长治县,区县
140423,襄垣县,140400,长治市,31/12/2002,31/08/2013,140423,襄垣县,区县
140424,屯留县,140400,长治市,31/12/2002,31/08/2013,140424,屯留县,区县
140425,平顺县,140400,长治市,31/12/2002,31/08/2013,140425,平顺县,区县
140426,黎城县,140400,长治市,31/12/2002,31/08/2013,140426,黎城县,区县
140427,壶关县,140400,长治市,31/12/2002,31/08/2013,140427,壶关县,区县
140428,长子县,140400,长治市,31/12/2002,31/08/2013,140428,长子县,区县
140429,武乡县,140400,长治市,31/12/2002,31/08/2013,140429,武乡县,区县
